Summary,Start Time,End Time,Location
Projeto de Integração de Sistemas de Informação Distribuídos - Distributed Information Systems Integration Project,Mon May 15 14:30:00 WEST 2023,Mon May 15 16:00:00 WEST 2023,"Auditório B1.04, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue Feb 07 13:00:00 WET 2023,Tue Feb 07 14:30:00 WET 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Mon Nov 21 16:00:00 WET 2022,Mon Nov 21 17:30:00 WET 2022,"Auditório B1.03, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Thu Sep 22 14:30:00 WEST 2022,Thu Sep 22 16:00:00 WEST 2022,"1E03, 1, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Wed May 24 14:30:00 WEST 2023,Wed May 24 16:00:00 WEST 2023,"D1.05, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Nov 09 11:00:00 WET 2022,Wed Nov 09 12:30:00 WET 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Sistemas de Data Warehouse e Business Intelligence - Data Warehouse and Business Intelligence Systems,Wed Oct 19 11:00:00 WEST 2022,Wed Oct 19 12:30:00 WEST 2022,"C6.01, 6, Edifício II (ISCTE-IUL), ISCTE-IUL"
Arquitetura de Redes - Network Arquitectures,Wed Sep 14 13:00:00 WEST 2022,Wed Sep 14 14:30:00 WEST 2022,"C4.02, 4, Edifício II (ISCTE-IUL), ISCTE-IUL"
Programação Concorrente e Distribuída - Concurrent and Parallel Programming,Tue Nov 22 16:00:00 WET 2022,Tue Nov 22 17:30:00 WET 2022,"C5.09, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Mon May 08 13:00:00 WEST 2023,Mon May 08 14:30:00 WEST 2023,"Auditório 0NE02-Caiano Pereira, 0, Edifício Sedas Nunes (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Thu Mar 30 13:00:00 WEST 2023,Thu Mar 30 14:30:00 WEST 2023,"D1.07, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Interacção Pessoa-Máquina - Human-Computer Interaction,Wed Apr 26 13:00:00 WEST 2023,Wed Apr 26 14:30:00 WEST 2023,"C5.05, 5, Edifício II (ISCTE-IUL), ISCTE-IUL"
Engenharia de Software - Software Engineering,Tue May 02 13:00:00 WEST 2023,Tue May 02 14:30:00 WEST 2023,"D1.02, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
Desenvolvimento para A Internet e Aplicações Móveis - Development for Internet and Mobile Apps,Fri Mar 31 13:00:00 WEST 2023,Fri Mar 31 14:30:00 WEST 2023,"D1.05, 1, Edifício II (ISCTE-IUL), ISCTE-IUL"
